Timestamp,Status,Response Time,Client IP,Method,Endpoint,Response Time (s)
2025/02/19 - 06:42:53,200,13.332020312s,172.16.34.69,POST,/api/embed,13.33202031
2025/02/19 - 06:42:54,200,1.034369301s,10.61.248.15,POST,/api/generate,1.034369301
2025/02/19 - 06:42:57,200,2.696007955s,10.61.248.15,POST,/api/generate,2.696007955
2025/02/19 - 06:42:57,200,17.143686898s,172.16.34.69,POST,/api/embed,17.1436869
2025/02/19 - 06:42:58,200,17.734323785s,172.16.34.69,POST,/api/embed,17.73432379
2025/02/19 - 06:42:59,200,1.357971613s,10.61.248.15,POST,/api/generate,1.357971613
2025/02/19 - 06:42:59,200,19.044163159s,172.16.34.69,POST,/api/embed,19.04416316
2025/02/19 - 06:42:59,200,19.359409733s,172.16.34.69,POST,/api/embed,19.35940973
2025/02/19 - 06:43:00,200,20.130840212s,172.16.34.69,POST,/api/embed,20.13084021
2025/02/19 - 06:43:01,200,20.933396566s,172.16.34.69,POST,/api/embed,20.93339657
2025/02/19 - 06:43:05,200,25.324479576s,172.16.34.69,POST,/api/embed,25.32447958
